id,source_canonical_name,source_aliases_json,source_group_name,source_pregnancy_severity,source_breastfeeding_severity,source_rationale,source_non_overridable_boolean
258,Edetate Calcium Disodium,"[""calcium disodium edta""]",Chelators,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
259,Ammonium Glycolate,[],Exfoliants,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
260,Sodium Lactate,[],Humectants,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
261,Sodium Citrate,[],Buffers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
262,Potassium Citrate,[],Buffers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
263,Beta-Glucan,[],Skin Protectants,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
264,Hydroxypropyl Guar,[],Thickeners,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
265,Hydroxypropyl Starch Phosphate,[],Thickeners,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
266,Pullulan,[],Film Formers,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
267,Ergothioneine,[],Antioxidants,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
268,Silymarin,"[""milk thistle extract""]",Antioxidants,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
269,Piroctone Olamine,[],Scalp Actives,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
270,Zinc Gluconate,[],Scalp Actives,safe,safe,Generally considered safe in topical cosmetic or dermatologic use.,False
2,Hydroquinone,"[""hydroquinone usp"", ""hq""]",Skin Lighteners,avoid,caution,"Skin-lightening agent with relatively higher systemic absorption compared with many topicals; avoid in pregnancy as a conservative precaution. During breastfeeding, not formally studied; some experts discourage long-term use—avoid infant contact/ingestion from treated skin.",True
6,Salicylic Acid,"[""bha"", ""beta hydroxy acid"", ""2-hydroxybenzoic acid""]",Exfoliants,caution,safe,"Salicylate/BHA exfoliant. Professional guidance generally considers limited topical use acceptable, but use caution in pregnancy—avoid high-dose (>2%) leave-on or large-area use. Generally compatible with breastfeeding when used as directed.",False
31,Titanium Dioxide,"[""ci 77891"", ""titanium dioxide"", ""titanium dioxide (ci 77891)"", ""CI77891"", ""Titanium Dioxide (Pigment)""]",Mineral Sunscreens,safe,safe,Mineral UV filter with no systemic absorption. Safe and recommended during pregnancy as sun protection.,False
45,Tretinoin,"[""all-trans retinoic acid"", ""retinoic acid"", ""retin-a""]",Retinoids,avoid,caution,"Topical retinoid/Vitamin A derivative. Most experts recommend avoiding during pregnancy due to teratogenicity of systemic retinoids and precautionary guidance for topical use. For breastfeeding, topical absorption is low; avoid applying to nipple/areola and prevent infant skin contact.",True
46,Adapalene,"[""differin""]",Retinoids,avoid,caution,"Topical retinoid/Vitamin A derivative. Most experts recommend avoiding during pregnancy due to teratogenicity of systemic retinoids and precautionary guidance for topical use. For breastfeeding, topical absorption is low; avoid applying to nipple/areola and prevent infant skin contact.",True
47,Tazarotene,"[""tazorac""]",Retinoids,avoid,caution,"Topical retinoid with stronger pregnancy risk (systemic retinoids are teratogenic). Avoid during pregnancy. For breastfeeding, topical absorption is low but use caution; do not apply to nipple/areola and avoid infant skin contact.",True
48,Retinal,"[""retinaldehyde""]",Retinoids,avoid,caution,Retinoid-pathway ingredient (retinaldehyde). Avoid during pregnancy as a conservative precaution. Use caution while breastfeeding; avoid nipple/areola.,False
49,Retinyl Acetate,"[""vitamin a acetate""]",Retinoids,avoid,caution,Vitamin A derivative. Avoid during pregnancy as a conservative precaution. Use caution while breastfeeding; avoid nipple/areola.,False
50,Retinyl Propionate,"[""vitamin a propionate""]",Retinoids,avoid,caution,Vitamin A derivative. Avoid during pregnancy as a conservative precaution. Use caution while breastfeeding; avoid nipple/areola.,False
51,Hydroxypinacolone Retinoate,"[""hpr"", ""granactive retinoid""]",Retinoids,avoid,caution,Retinoid ester (HPR; often marketed as 'Granactive Retinoid'). Avoid during pregnancy as a conservative precaution. Use caution while breastfeeding; avoid nipple/areola.,False
52,Betaine Salicylate,"[""betaine salicylate (bha)""]",Exfoliants,caution,safe,"Salicylate/BHA exfoliant. Professional guidance generally considers limited topical use acceptable, but use caution in pregnancy—avoid high-dose (>2%) leave-on or large-area use. Generally compatible with breastfeeding when used as directed.",False
53,Sodium Salicylate,"[""natrium salicylate""]",Exfoliants,caution,safe,"Salicylate/BHA exfoliant. Professional guidance generally considers limited topical use acceptable, but use caution in pregnancy—avoid high-dose (>2%) leave-on or large-area use. Generally compatible with breastfeeding when used as directed.",False
54,Capryloyl Salicylic Acid,"[""lha"", ""lipohydroxy acid""]",Exfoliants,caution,safe,"Salicylate/BHA exfoliant. Professional guidance generally considers limited topical use acceptable, but use caution in pregnancy—avoid high-dose (>2%) leave-on or large-area use. Generally compatible with breastfeeding when used as directed.",False
55,Willow Bark Extract,"[""salix alba bark extract"", ""salix nigra bark extract""]",Botanicals,caution,safe,"Salicylate/BHA exfoliant. Professional guidance generally considers limited topical use acceptable, but use caution in pregnancy—avoid high-dose (>2%) leave-on or large-area use. Generally compatible with breastfeeding when used as directed.",False
62,Octinoxate,"[""ethylhexyl methoxycinnamate"", ""octyl methoxycinnamate""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
63,Octocrylene,[],Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
64,Homosalate,[],Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
65,Octisalate,"[""ethylhexyl salicylate""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
66,Ensulizole,"[""phenylbenzimidazole sulfonic acid""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
67,Sulisobenzone,"[""benzophenone-4""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
282,Collagen,[],Proteins,safe,safe,Generally considered safe in topical cosmetic use.,False
68,Dioxybenzone,"[""benzophenone-8""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
69,Meradimate,"[""menthyl anthranilate""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
70,Padimate O,"[""octyl dimethyl paba""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
71,Ecamsule,"[""mexoryl sx""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
72,Drometrizole Trisiloxane,"[""mexoryl xl""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
73,Diethylamino Hydroxybenzoyl Hexyl Benzoate,"[""uvinul a plus""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
74,Ethylhexyl Triazone,"[""uvinul t 150""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
75,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,"[""bemotrizinol"", ""tinosorb s""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
76,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,"[""bisoctrizole"", ""tinosorb m""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
77,Tris-Biphenyl Triazine,"[""tinosorb a2b""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
78,Polysilicone-15,"[""parsol slx""]",Chemical Sunscreens,avoid,caution,"Organic (chemical) UV filter. FDA-sponsored trials found measurable systemic absorption for several chemical sunscreen actives under maximal-use conditions; effects are uncertain. Conservative approach: avoid during pregnancy and prefer mineral filters (zinc oxide/titanium dioxide). If used while breastfeeding, use caution and avoid application to the breast area.",False
128,Methylisothiazolinone,"[""mi""]",Preservatives,avoid,avoid,"Preservative associated with high rates of contact allergy, especially in leave-on products. Conservative approach: avoid, particularly during pregnancy/breastfeeding when skin may be more sensitive.",True
129,Methylchloroisothiazolinone,"[""mci""]",Preservatives,avoid,avoid,"Preservative associated with high rates of contact allergy, especially in leave-on products. Conservative approach: avoid, particularly during pregnancy/breastfeeding when skin may be more sensitive.",True
202,Lilial,"[""butylphenyl methylpropional""]",Fragrance,avoid,avoid,Fragrance ingredient (Butylphenyl Methylpropional) prohibited in EU cosmetics due to reproductive toxicity classification; conservative approach: avoid.,True
271,Polyvinylpyrrolidone,"[""polyvinylpyrrolidone"", ""PVP""]",Film Formers,safe,safe,Film former; generally safe.,False
272,Polytetrafluoroethylene,"[""polytetrafluoroethylene"", ""PTFE""]",PFAS,avoid,avoid,PFAS-related polymer used for slip/wear in makeup; many prefer to avoid.,True
273,Polymethyl Methacrylate,"[""polymethyl methacrylate"", ""PMMA""]",Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
274,Algae Extract,[],Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
275,Alumina,[],Makeup Fillers,safe,safe,Generally considered safe in topical cosmetic use.,False
276,Avena Sativa Kernel Flour,"[""oat flour""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
277,Avocado Perseose,[],Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
278,Bis-Aminopropyl Diglycol Dimaleate,"[""bond builder""]",Hair Actives,safe,safe,Generally considered safe in topical cosmetic use.,False
279,Borago Officinalis Seed Oil,"[""borage seed oil""]",Plant Oils,safe,safe,Generally considered safe in topical cosmetic use.,False
280,Calendula Officinalis Flower Extract,"[""calendula extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
283,Cyclomethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
284,Dicaprylyl Carbonate,[],Emollients,safe,safe,Generally considered safe in topical cosmetic use.,False
285,Elastin,[],Proteins,safe,safe,Generally considered safe in topical cosmetic use.,False
286,Ethoxydiglycol,[],Solvents,safe,safe,Generally considered safe in topical cosmetic use.,False
288,Glycol Distearate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
289,Laureth-23,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
291,Linum Usitatissimum Seed Extract,"[""linseed extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
292,Lutein,[],Antioxidants,safe,safe,Generally considered safe in topical cosmetic use.,False
293,Limnanthes Alba Seed Oil,"[""meadowfoam seed oil""]",Plant Oils,safe,safe,Generally considered safe in topical cosmetic use.,False
294,Methylpropanediol,[],Solvents,safe,safe,Generally considered safe in topical cosmetic use.,False
295,Palmitic Acid,[],Fatty Acids,safe,safe,Generally considered safe in topical cosmetic use.,False
296,Polyacrylamide,[],Polymers,safe,safe,Generally considered safe in topical cosmetic use.,False
297,Red Algae Extract,"[""rhodophyceae extract""]",Botanicals,safe,safe,Generally considered safe in topical cosmetic use.,False
298,Simethicone,[],Silicones,safe,safe,Generally considered safe in topical cosmetic use.,False
299,Sodium Lauroyl Isethionate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
300,Sodium Methyl 2-Sulfolaurate,[],Surfactants,safe,safe,Generally considered safe in topical cosmetic use.,False
301,Stearamidopropyl Dimethylamine,[],Conditioning Agents,safe,safe,Generally considered safe in topical cosmetic use.,False
302,Triethanolamine,[],pH Adjusters,safe,safe,Generally considered safe in topical cosmetic use.,False
303,Triisononanoin,[],Emollients,safe,safe,Generally considered safe in topical cosmetic use.,False
304,Zinc Pyrithione,[],Scalp Actives,avoid,avoid,Anti-dandruff antimicrobial active. Limited human pregnancy/breastfeeding data; labeling generally recommends use only if benefit outweighs risk. Conservative approach: avoid.,True
305,Peptide (Generic),"[""peptide"", ""peptides"", ""hexapeptide"", ""tripeptide"", ""tetrapeptide"", ""oligopeptide""]",Peptides,safe,safe,Generic peptide family matcher used for discovery; individual peptides evaluated separately.,False
306,CI Colorants (Generic),"[""ci 26100"", ""ci 47000"", ""ci 77491"", ""ci 77492"", ""ci 77499"", ""ci 77007""]",Makeup Pigments,safe,safe,Generic CI colorant matcher; individual pigments assessed separately.,False
309,Beta-Carotene,"[""beta-carotene"", ""beta- carotene""]",Vitamins,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
310,Hydrolyzed Collagen,"[""hydrolyzed collagen"", ""hydrolyzed collagen*""]",Proteins,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
311,Acmella Oleracea Extract,"[""acmella oleracea extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
312,Acrylates/c10-30 Alkyl Acrylate Crosspolymer,"[""acrylates/c10-30 alkyl acrylate crosspolymer""]",Film Formers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
313,Adenosine,"[""adenosine""]",Conditioning Agents,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
314,Alaria Esculenta Extract,"[""alaria esculenta extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
315,Albizia Julibrissin Bark Extract,"[""albizia julibrissin bark extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
316,Aloe Barbadensis Leaf Juice Powder,"[""aloe barbadensis leaf juice powder""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
317,Aminomethyl Propanol,"[""aminomethyl propanol""]",pH Adjusters,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
318,Ammonium Acryloyldimethyltaurate/vp Copolymer,"[""ammonium acryloyldimethyltaurate/vp copolymer""]",Film Formers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
319,Amyl Salicylate,"[""amyl salicylate""]",Fragrance,caution,caution,Salicylate-related fragrance ingredient; avoid heavy leave-on use during pregnancy and use with caution.,False
320,Amylopectin,"[""amylopectin""]",Thickeners,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
321,Astragalus Membranaceus Root Extract,"[""astragalus membranaceus root extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
322,Atractylodes Macrocephala Root Extract,"[""atractylodes macrocephala root extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
323,Bambusa Vulgaris Leaf/stem Extract,"[""bambusa vulgaris leaf/stem extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
324,Benzyl Acetate,"[""benzyl acetate""]",Fragrance,caution,caution,Fragrance component; may irritate/sensitize and has limited pregnancy-specific data—use with caution.,False
325,Benzyl Benzoate,"[""benzyl benzoate""]",Fragrance,caution,caution,Fragrance component; may irritate/sensitize and has limited pregnancy-specific data—use with caution.,False
326,Biotin,"[""biotin""]",Vitamins,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
327,Bisabolol,"[""bisabolol""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
328,Brassica Alba Sprout Extract,"[""brassica alba sprout extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
329,Bupleurum Falcatum Root Extract,"[""bupleurum falcatum root extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
330,Calendula Officinalis Extract,"[""calendula officinalis extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
331,Caprylyl/capryl Glucoside,"[""caprylyl/capryl glucoside""]",Surfactants,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
332,Carnosine,"[""carnosine""]",Conditioning Agents,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
333,Castor Oil/ipdi Copolymer,"[""castor oil/ipdi copolymer""]",Film Formers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
334,Ceramide NG,"[""ceramide ng""]",Lipids,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
335,Ceteareth-20,"[""ceteareth-20""]",Emulsifiers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
336,Cetearyl Methicone,"[""cetearyl methicone""]",Silicones,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
337,Cetyl Esters,"[""cetyl esters""]",Emulsifiers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
338,Chlorella Protothecoides Oil,"[""chlorella protothecoides oil""]",Plant Oils,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
339,Chlorella Vulgaris Extract,"[""chlorella vulgaris extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
340,Chlorhexidine Digluconate,"[""chlorhexidine digluconate""]",Antibacterials,caution,caution,"Antimicrobial ingredient; generally low systemic absorption, but use with caution especially on large areas or broken skin.",False
341,Chrysin,"[""chrysin""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
342,Citric Acid,"[""citric acid""]",pH Adjusters,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
343,Citrus Limon Fruit Extract,"[""citrus limon fruit extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
344,Coco-caprylate/caprate,"[""coco-caprylate/caprate""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
345,Coffea Arabica Seed Oil,"[""coffea arabica seed oil""]",Plant Oils,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
346,Collagen Amino Acids,"[""collagen amino acids""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
347,Copernicia Cerifera Wax/copernicia Cerifera Cera/cire De Carnauba,"[""copernicia cerifera wax/ copernicia cerifera cera/ cire de carnauba""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
348,Copper Lysinate/prolinate,"[""copper lysinate/prolinate""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
349,Corallina Officinalis Extract,"[""corallina officinalis extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
350,Cylindrotheca Fusiformis Extract,"[""cylindrotheca fusiformis extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
351,Cynara Scolymus Leaf Extract,"[""cynara scolymus leaf extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
352,Darutoside,"[""darutoside""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
353,Dextrin,"[""dextrin""]",Thickeners,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
354,Dextrin Palmitate,"[""dextrin palmitate""]",Thickeners,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
355,Dictyopteris Polypodioides Extract,"[""dictyopteris polypodioides extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
356,Diglycerin,"[""diglycerin""]",Humectants,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
480,C20-40 ALCOHOLS,"[""c20-40 alcohols""]",Other,safe,safe,No known pregnancy or breastfeeding concerns at typical topical cosmetic use levels.,False
357,Dimethicone Crosspolymer,"[""dimethicone crosspolymer""]",Film Formers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
358,Dipeptide-2,"[""dipeptide-2""]",Peptides,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
359,Disodium Cocoamphodiacetate,"[""disodium cocoamphodiacetate""]",Surfactants,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
360,Dunaliella Salina Extract,"[""dunaliella salina extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
361,Ethyl Ferulate,"[""ethyl ferulate""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
362,Ethylhexyl Palmitate,"[""ethylhexyl palmitate""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
363,Glucosamine HCL,"[""glucosamine hcl""]",Conditioning Agents,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
364,Glyceryl Glucoside,"[""glyceryl glucoside""]",Humectants,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
365,Glyceryl Stearate SE,"[""glyceryl stearate se""]",Emulsifiers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
366,Helianthus Annuus Extract,"[""helianthus annuus extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
367,Helianthus Annuus Seed Oil,"[""helianthus annuus seed oil""]",Plant Oils,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
368,Helichrysum Stoechas Flower Extract,"[""helichrysum stoechas flower extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
369,Hesperidin Methyl Chalcone,"[""hesperidin methyl chalcone""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
370,Hexylene Glycol,"[""hexylene glycol""]",Solvents,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
371,Humulus Lupulus Extract,"[""humulus lupulus extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
372,Hydroxyacetophenone,"[""hydroxyacetophenone""]",Preservatives,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
373,Hydroxyethyl Acrylate/sodium Acryloyldimethyl Taurate Copolymer,"[""hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer""]",Film Formers,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
374,Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran,"[""hydroxymethoxyphenyl propylmethylmethoxybenzofuran""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
375,Ionone,"[""ionone""]",Fragrance,caution,caution,Fragrance component; may irritate/sensitize and has limited pregnancy-specific data—use with caution.,False
376,Iris Florentina Root Extract,"[""iris florentina root extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
377,Isopropyl Isostearate,"[""isopropyl isostearate""]",Base,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
378,Kigelia Africana Fruit Extract,"[""kigelia africana fruit extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
379,Leuconostoc/radish Root Ferment Filtrate,"[""leuconostoc/radish root ferment filtrate""]",Preservatives,safe,safe,No known pregnancy or breastfeeding concerns at typical cosmetic concentrations.,False
380,Lilium Candidum Flower Extract,"[""lilium candidum flower extract""]",Botanicals,caution,caution,Botanical/plant-derived ingredient with limited pregnancy-specific data; generally considered low risk but use with caution (especially if irritation occurs).,False
